,Zones,Value,Occupancy Type,Unit
321,Zone 3,674.493720147,Working Hours,CO2 [ppm]
322,Zone 3,674.374796581,Working Hours,CO2 [ppm]
323,Zone 3,678.204135385,Working Hours,CO2 [ppm]
324,Zone 3,683.484341685,Working Hours,CO2 [ppm]
325,Zone 3,688.621839707,Working Hours,CO2 [ppm]
326,Zone 3,700.609335091,Working Hours,CO2 [ppm]
327,Zone 3,698.896835751,Working Hours,CO2 [ppm]
328,Zone 3,694.044754286,Working Hours,CO2 [ppm]
329,Zone 3,698.183294359,Working Hours,CO2 [ppm]
330,Zone 3,689.335381099,Working Hours,CO2 [ppm]
331,Zone 3,685.624965861,Working Hours,CO2 [ppm]
332,Zone 3,689.335381099,Working Hours,CO2 [ppm]
333,Zone 3,691.143019292,Working Hours,CO2 [ppm]
334,Zone 3,689.906214212,Working Hours,CO2 [ppm]
335,Zone 3,688.193714872,Working Hours,CO2 [ppm]
336,Zone 3,686.386076679,Working Hours,CO2 [ppm]
337,Zone 3,687.194756923,Working Hours,CO2 [ppm]
338,Zone 3,687.765590036,Working Hours,CO2 [ppm]
339,Zone 3,686.053090696,Working Hours,CO2 [ppm]
340,Zone 3,679.48850989,Working Hours,CO2 [ppm]
341,Zone 3,672.590943101,Working Hours,CO2 [ppm]
342,Zone 3,667.786431062,Working Hours,CO2 [ppm]
343,Zone 3,662.720287179,Working Hours,CO2 [ppm]
344,Zone 3,662.078099927,Working Hours,CO2 [ppm]
345,Zone 3,662.244592918,Working Hours,CO2 [ppm]
346,Zone 3,657.654143297,Working Hours,CO2 [ppm]
347,Zone 3,654.942686007,Working Hours,CO2 [ppm]
348,Zone 3,652.373936996,Working Hours,CO2 [ppm]
349,Zone 3,649.947896264,Working Hours,CO2 [ppm]
350,Zone 3,649.99546569,Working Hours,CO2 [ppm]
351,Zone 3,649.091646593,Working Hours,CO2 [ppm]
352,Zone 3,649.662479707,Working Hours,CO2 [ppm]
353,Zone 3,650.946854212,Working Hours,CO2 [ppm]
354,Zone 3,650.233312821,Working Hours,CO2 [ppm]
355,Zone 3,649.947896264,Working Hours,CO2 [ppm]
356,Zone 3,651.422548474,Working Hours,CO2 [ppm]
357,Zone 3,652.373936997,Working Hours,CO2 [ppm]
358,Zone 3,650.946854213,Working Hours,CO2 [ppm]
359,Zone 3,650.352236386,Working Hours,CO2 [ppm]
360,Zone 3,651.089562491,Working Hours,CO2 [ppm]
361,Zone 3,648.687306471,Working Hours,CO2 [ppm]
362,Zone 3,648.806230036,Working Hours,CO2 [ppm]
363,Zone 3,648.687306472,Working Hours,CO2 [ppm]
364,Zone 3,649.400847863,Working Hours,CO2 [ppm]
365,Zone 3,648.663521758,Working Hours,CO2 [ppm]
366,Zone 3,649.281924298,Working Hours,CO2 [ppm]
