,Occupancy Type,Zones,Value,Unit
301,Non-working Hours,Zone 3,25.5591245812,Operative Temp. [deg. C]
302,Non-working Hours,Zone 3,25.5708330069,Operative Temp. [deg. C]
303,Non-working Hours,Zone 3,25.5522494562,Operative Temp. [deg. C]
304,Non-working Hours,Zone 3,25.5936108819,Operative Temp. [deg. C]
305,Non-working Hours,Zone 3,25.6143749125,Operative Temp. [deg. C]
306,Non-working Hours,Zone 3,25.6478749063,Operative Temp. [deg. C]
307,Non-working Hours,Zone 3,25.6844444167,Operative Temp. [deg. C]
308,Non-working Hours,Zone 3,25.7363750063,Operative Temp. [deg. C]
309,Non-working Hours,Zone 3,25.7930554861,Operative Temp. [deg. C]
310,Non-working Hours,Zone 3,25.7057499875,Operative Temp. [deg. C]
311,Non-working Hours,Zone 3,25.7663750125,Operative Temp. [deg. C]
312,Non-working Hours,Zone 3,25.8393053819,Operative Temp. [deg. C]
313,Non-working Hours,Zone 3,25.8532496438,Operative Temp. [deg. C]
314,Non-working Hours,Zone 3,25.8163888889,Operative Temp. [deg. C]
315,Non-working Hours,Zone 3,25.8864995937,Operative Temp. [deg. C]
316,Non-working Hours,Zone 3,25.8907496312,Operative Temp. [deg. C]
317,Non-working Hours,Zone 3,25.9337499097,Operative Temp. [deg. C]
318,Non-working Hours,Zone 3,25.9046248875,Operative Temp. [deg. C]
319,Non-working Hours,Zone 3,25.916388625,Operative Temp. [deg. C]
320,Non-working Hours,Zone 3,25.948125,Operative Temp. [deg. C]
321,Non-working Hours,Zone 3,26.0167499625,Operative Temp. [deg. C]
322,Non-working Hours,Zone 3,25.9912498611,Operative Temp. [deg. C]
323,Non-working Hours,Zone 3,25.9414997438,Operative Temp. [deg. C]
324,Non-working Hours,Zone 3,25.9332496,Operative Temp. [deg. C]
325,Non-working Hours,Zone 3,26.0247222014,Operative Temp. [deg. C]
326,Non-working Hours,Zone 3,26.094875025,Operative Temp. [deg. C]
327,Non-working Hours,Zone 3,26.0484723125,Operative Temp. [deg. C]
328,Non-working Hours,Zone 3,25.9972498813,Operative Temp. [deg. C]
329,Non-working Hours,Zone 3,25.9756943195,Operative Temp. [deg. C]
330,Non-working Hours,Zone 3,25.961624625,Operative Temp. [deg. C]
331,Non-working Hours,Zone 3,24.6027497375,Operative Temp. [deg. C]
332,Non-working Hours,Zone 3,24.6438887014,Operative Temp. [deg. C]
333,Non-working Hours,Zone 3,24.7239999,Operative Temp. [deg. C]
334,Non-working Hours,Zone 3,24.881375125,Operative Temp. [deg. C]
335,Non-working Hours,Zone 3,24.9841667084,Operative Temp. [deg. C]
336,Non-working Hours,Zone 3,25.043624825,Operative Temp. [deg. C]
337,Non-working Hours,Zone 3,24.9288889861,Operative Temp. [deg. C]
338,Non-working Hours,Zone 3,24.94874995,Operative Temp. [deg. C]
339,Non-working Hours,Zone 3,24.9671250875,Operative Temp. [deg. C]
340,Non-working Hours,Zone 3,25.0720832708,Operative Temp. [deg. C]
341,Non-working Hours,Zone 3,25.1204995813,Operative Temp. [deg. C]
342,Non-working Hours,Zone 3,25.2213750563,Operative Temp. [deg. C]
343,Non-working Hours,Zone 3,25.2036111667,Operative Temp. [deg. C]
344,Non-working Hours,Zone 3,25.4308335417,Operative Temp. [deg. C]
345,Non-working Hours,Zone 3,25.4779995812,Operative Temp. [deg. C]
346,Non-working Hours,Zone 3,25.5054997375,Operative Temp. [deg. C]
347,Non-working Hours,Zone 3,25.5216663819,Operative Temp. [deg. C]
348,Non-working Hours,Zone 3,25.5633749938,Operative Temp. [deg. C]
349,Non-working Hours,Zone 3,25.584583375,Operative Temp. [deg. C]
350,Non-working Hours,Zone 3,25.5858750125,Operative Temp. [deg. C]
351,Non-working Hours,Zone 3,25.6616250625,Operative Temp. [deg. C]
352,Non-working Hours,Zone 3,25.669722257,Operative Temp. [deg. C]
353,Non-working Hours,Zone 3,25.6771250375,Operative Temp. [deg. C]
354,Non-working Hours,Zone 3,25.7576251375,Operative Temp. [deg. C]
355,Non-working Hours,Zone 3,25.8255553611,Operative Temp. [deg. C]
356,Non-working Hours,Zone 3,25.8863749312,Operative Temp. [deg. C]
357,Non-working Hours,Zone 3,25.8473607847,Operative Temp. [deg. C]
358,Non-working Hours,Zone 3,25.8909998125,Operative Temp. [deg. C]
359,Non-working Hours,Zone 3,25.9657142589,Operative Temp. [deg. C]
360,Non-working Hours,Zone 3,25.9344443472,Operative Temp. [deg. C]
361,Non-working Hours,Zone 3,25.9122498313,Operative Temp. [deg. C]
362,Non-working Hours,Zone 3,25.8884717847,Operative Temp. [deg. C]
363,Non-working Hours,Zone 3,25.9281248562,Operative Temp. [deg. C]
364,Non-working Hours,Zone 3,25.9657499375,Operative Temp. [deg. C]
365,Non-working Hours,Zone 3,25.9390276111,Operative Temp. [deg. C]
366,Non-working Hours,Zone 3,25.9593749687,Operative Temp. [deg. C]
367,Non-working Hours,Zone 3,25.9935416146,Operative Temp. [deg. C]
368,Non-working Hours,Zone 3,26.0900003281,Operative Temp. [deg. C]
369,Non-working Hours,Zone 3,26.0872502625,Operative Temp. [deg. C]
370,Non-working Hours,Zone 3,26.0989289911,Operative Temp. [deg. C]
371,Non-working Hours,Zone 3,26.0621250813,Operative Temp. [deg. C]
372,Non-working Hours,Zone 3,26.0823611111,Operative Temp. [deg. C]
373,Non-working Hours,Zone 3,26.074750075,Operative Temp. [deg. C]
374,Non-working Hours,Zone 3,26.0124998437,Operative Temp. [deg. C]
375,Non-working Hours,Zone 3,26.0915279236,Operative Temp. [deg. C]
376,Non-working Hours,Zone 3,26.1570836458,Operative Temp. [deg. C]
377,Non-working Hours,Zone 3,26.1760000687,Operative Temp. [deg. C]
378,Non-working Hours,Zone 3,26.177625075,Operative Temp. [deg. C]
379,Non-working Hours,Zone 3,26.2001390833,Operative Temp. [deg. C]
380,Non-working Hours,Zone 3,26.2153751375,Operative Temp. [deg. C]
381,Non-working Hours,Zone 3,24.808000175,Operative Temp. [deg. C]
382,Non-working Hours,Zone 3,24.8748615347,Operative Temp. [deg. C]
383,Non-working Hours,Zone 3,24.9260002875,Operative Temp. [deg. C]
384,Non-working Hours,Zone 3,24.9736109097,Operative Temp. [deg. C]
385,Non-working Hours,Zone 3,25.0305552083,Operative Temp. [deg. C]
386,Non-working Hours,Zone 3,25.0851386458,Operative Temp. [deg. C]
387,Non-working Hours,Zone 3,25.1265970278,Operative Temp. [deg. C]
388,Non-working Hours,Zone 3,25.1683333194,Operative Temp. [deg. C]
389,Non-working Hours,Zone 3,25.2086250375,Operative Temp. [deg. C]
390,Non-working Hours,Zone 3,25.2350000347,Operative Temp. [deg. C]
391,Non-working Hours,Zone 3,25.2632500313,Operative Temp. [deg. C]
392,Non-working Hours,Zone 3,25.3111111736,Operative Temp. [deg. C]
393,Non-working Hours,Zone 3,25.3834999875,Operative Temp. [deg. C]
394,Non-working Hours,Zone 3,25.7353753125,Operative Temp. [deg. C]
395,Non-working Hours,Zone 3,25.7211111111,Operative Temp. [deg. C]
396,Non-working Hours,Zone 3,25.69875,Operative Temp. [deg. C]
