,Occupancy Type,Zones,value
2015-10-14 09:20:00,Occupied,Zone 3,25.4169642232
2015-10-14 09:30:00,Occupied,Zone 3,25.6167189297
2015-10-14 09:40:00,Occupied,Zone 3,25.7306946042
2015-10-14 09:50:00,Occupied,Zone 3,25.8882498625
2015-10-14 10:00:00,Occupied,Zone 3,26.0372502625
2015-10-14 10:10:00,Occupied,Zone 3,26.1544439514
2015-10-14 10:20:00,Occupied,Zone 3,26.2661110556
2015-10-14 10:30:00,Occupied,Zone 3,26.3987503959
2015-10-14 10:40:00,Occupied,Zone 3,26.4266255062
2015-10-14 10:50:00,Occupied,Zone 3,26.5034725625
2015-10-14 11:00:00,Occupied,Zone 3,26.6543055
2015-10-14 11:10:00,Occupied,Zone 3,26.7978749875
2015-10-14 11:20:00,Occupied,Zone 3,26.8595002687
2015-10-14 11:30:00,Occupied,Zone 3,26.8562500972
2015-10-14 11:40:00,Occupied,Zone 3,26.9386249188
2015-10-14 11:50:00,Occupied,Zone 3,26.9611110278
2015-10-14 12:00:00,Occupied,Zone 3,26.9644999563
2015-10-14 12:10:00,Occupied,Zone 3,27.018999575
2015-10-14 12:20:00,Occupied,Zone 3,27.0795833542
2015-10-14 12:30:00,Occupied,Zone 3,27.096624975
2015-10-14 12:40:00,Occupied,Zone 3,27.1403750375
2015-10-14 12:50:00,Occupied,Zone 3,27.1323610417
2015-10-14 13:00:00,Occupied,Zone 3,27.1977500625
2015-10-14 13:10:00,Occupied,Zone 3,27.2323611042
2015-10-14 13:20:00,Occupied,Zone 3,27.2110000812
2015-10-14 13:30:00,Occupied,Zone 3,27.2327500563
2015-10-14 13:40:00,Occupied,Zone 3,27.2211110972
2015-10-14 13:50:00,Occupied,Zone 3,27.2282500125
2015-10-14 14:00:00,Occupied,Zone 3,27.1941666528
2015-10-14 14:10:00,Occupied,Zone 3,27.2416250063
2015-10-14 14:20:00,Occupied,Zone 3,27.2882499688
2015-10-14 14:30:00,Occupied,Zone 3,27.307083257
2015-10-14 14:40:00,Occupied,Zone 3,27.2976250125
2015-10-14 14:50:00,Occupied,Zone 3,27.3522223472
2015-10-14 15:00:00,Occupied,Zone 3,27.3422500312
2015-10-14 15:10:00,Occupied,Zone 3,27.3752502125
2015-10-14 15:20:00,Occupied,Zone 3,27.4118059722
2015-10-14 15:30:00,Occupied,Zone 3,27.3868751187
2015-10-14 15:40:00,Occupied,Zone 3,27.4262504125
2015-10-14 15:50:00,Occupied,Zone 3,27.4488894444
2015-10-14 16:00:00,Occupied,Zone 3,27.5174997125
2015-10-14 16:10:00,Occupied,Zone 3,27.5320830903
2015-10-14 16:20:00,Occupied,Zone 3,27.4932498
2015-10-14 16:30:00,Occupied,Zone 3,27.508250225
2015-10-14 16:40:00,Occupied,Zone 3,27.5740277292
2015-10-14 16:50:00,Occupied,Zone 3,27.5708750875
2015-10-14 17:00:00,Occupied,Zone 3,27.5461111528
2015-10-07 00:00:00,Unoccupied,Zone 3,24.1255555347
2015-10-07 00:10:00,Unoccupied,Zone 3,24.2063750062
2015-10-07 00:20:00,Unoccupied,Zone 3,24.2942500187
2015-10-07 00:30:00,Unoccupied,Zone 3,24.4072222916
2015-10-07 00:40:00,Unoccupied,Zone 3,24.431874925
2015-10-07 00:50:00,Unoccupied,Zone 3,24.3550000069
2015-10-07 01:00:00,Unoccupied,Zone 3,24.4050000375
2015-10-07 01:10:00,Unoccupied,Zone 3,24.4589999813
2015-10-07 01:20:00,Unoccupied,Zone 3,24.407361125
2015-10-07 01:30:00,Unoccupied,Zone 3,24.3401250313
2015-10-07 01:40:00,Unoccupied,Zone 3,24.2451389583
2015-10-07 01:50:00,Unoccupied,Zone 3,24.159749775
2015-10-07 02:00:00,Unoccupied,Zone 3,24.1194997563
2015-10-07 02:10:00,Unoccupied,Zone 3,24.1626388334
2015-10-07 02:20:00,Unoccupied,Zone 3,24.11624995
2015-10-07 02:30:00,Unoccupied,Zone 3,24.1243054097
2015-10-07 02:40:00,Unoccupied,Zone 3,24.084749775
2015-10-07 02:50:00,Unoccupied,Zone 3,24.0996250188
2015-10-07 03:00:00,Unoccupied,Zone 3,24.0713889236
2015-10-07 03:10:00,Unoccupied,Zone 3,24.073874825
2015-10-07 03:20:00,Unoccupied,Zone 3,24.1556942778
2015-10-07 03:30:00,Unoccupied,Zone 3,24.2713750375
2015-10-07 03:40:00,Unoccupied,Zone 3,24.1993749687
2015-10-07 03:50:00,Unoccupied,Zone 3,24.1015275139
2015-10-07 04:00:00,Unoccupied,Zone 3,24.0588747313
2015-10-07 04:10:00,Unoccupied,Zone 3,24.0029166875
2015-10-07 04:20:00,Unoccupied,Zone 3,24.01837485
2015-10-07 04:30:00,Unoccupied,Zone 3,23.962500075
2015-10-07 04:40:00,Unoccupied,Zone 3,23.9963889236
2015-10-07 04:50:00,Unoccupied,Zone 3,24.0913750688
2015-10-07 05:00:00,Unoccupied,Zone 3,24.086249868
2015-10-07 05:10:00,Unoccupied,Zone 3,24.1587500375
2015-10-07 05:20:00,Unoccupied,Zone 3,24.1209999063
2015-10-07 05:30:00,Unoccupied,Zone 3,24.1033334305
2015-10-07 05:40:00,Unoccupied,Zone 3,24.0727498875
2015-10-07 05:50:00,Unoccupied,Zone 3,24.122499875
2015-10-07 06:00:00,Unoccupied,Zone 3,24.2077501625
2015-10-07 21:00:00,Unoccupied,Zone 3,26.0124998437
2015-10-07 21:10:00,Unoccupied,Zone 3,26.0915279236
2015-10-07 21:20:00,Unoccupied,Zone 3,26.1570836458
2015-10-07 21:30:00,Unoccupied,Zone 3,26.1760000687
2015-10-07 21:40:00,Unoccupied,Zone 3,26.177625075
2015-10-07 21:50:00,Unoccupied,Zone 3,26.2001390833
2015-10-07 22:00:00,Unoccupied,Zone 3,26.2153751375
2015-10-07 22:10:00,Unoccupied,Zone 3,26.2138889306
2015-10-07 22:20:00,Unoccupied,Zone 3,26.1973751437
2015-10-07 22:30:00,Unoccupied,Zone 3,25.9838887222
2015-10-07 22:40:00,Unoccupied,Zone 3,25.2164999875
2015-10-07 22:50:00,Unoccupied,Zone 3,24.78087505
2015-10-07 23:00:00,Unoccupied,Zone 3,24.4916666181
2015-10-08 00:00:00,Unoccupied,Zone 3,24.8221251313
2015-10-08 00:10:00,Unoccupied,Zone 3,24.8281945139
2015-10-08 00:20:00,Unoccupied,Zone 3,24.8248751562
2015-10-08 00:30:00,Unoccupied,Zone 3,24.7733332917
2015-10-08 00:40:00,Unoccupied,Zone 3,24.6798749188
2015-10-08 00:50:00,Unoccupied,Zone 3,24.8064997562
2015-10-08 01:00:00,Unoccupied,Zone 3,24.910277743
2015-10-08 01:10:00,Unoccupied,Zone 3,24.8398750812
2015-10-08 01:20:00,Unoccupied,Zone 3,24.7147221945
2015-10-08 01:30:00,Unoccupied,Zone 3,24.67537495
2015-10-08 01:40:00,Unoccupied,Zone 3,24.5839997625
2015-10-08 01:50:00,Unoccupied,Zone 3,24.4949997778
2015-10-08 02:00:00,Unoccupied,Zone 3,24.7547498125
2015-10-08 02:10:00,Unoccupied,Zone 3,24.9815278542
2015-10-08 02:20:00,Unoccupied,Zone 3,25.1353750812
2015-10-08 02:30:00,Unoccupied,Zone 3,25.2370834722
2015-10-08 02:40:00,Unoccupied,Zone 3,25.43824985
2015-10-08 02:50:00,Unoccupied,Zone 3,25.296249868
2015-10-08 03:00:00,Unoccupied,Zone 3,25.2838749375
2015-10-08 03:10:00,Unoccupied,Zone 3,25.1672498188
2015-10-08 03:20:00,Unoccupied,Zone 3,25.1904166181
2015-10-08 03:30:00,Unoccupied,Zone 3,25.0463887222
2015-10-08 03:40:00,Unoccupied,Zone 3,24.9678748688
2015-10-08 03:50:00,Unoccupied,Zone 3,24.8240277014
2015-10-08 04:00:00,Unoccupied,Zone 3,24.8061252
2015-10-08 04:10:00,Unoccupied,Zone 3,24.7333748938
2015-10-08 04:20:00,Unoccupied,Zone 3,24.7479166458
2015-10-08 04:30:00,Unoccupied,Zone 3,24.7668056528
2015-10-08 04:40:00,Unoccupied,Zone 3,24.6643749687
2015-10-08 04:50:00,Unoccupied,Zone 3,24.7105555625
2015-10-08 05:00:00,Unoccupied,Zone 3,24.5972499875
2015-10-08 05:10:00,Unoccupied,Zone 3,24.5136112083
2015-10-08 05:20:00,Unoccupied,Zone 3,24.5252498812
2015-10-08 05:30:00,Unoccupied,Zone 3,24.5339999687
2015-10-08 05:40:00,Unoccupied,Zone 3,24.5029167083
2015-10-08 05:50:00,Unoccupied,Zone 3,24.4283332848
2015-10-08 06:00:00,Unoccupied,Zone 3,24.4422499375
2015-10-08 21:00:00,Unoccupied,Zone 3,26.1144444305
2015-10-08 21:10:00,Unoccupied,Zone 3,26.0938749312
2015-10-08 21:20:00,Unoccupied,Zone 3,26.0802777708
2015-10-08 21:30:00,Unoccupied,Zone 3,26.07524995
2015-10-08 21:40:00,Unoccupied,Zone 3,26.1256943889
2015-10-08 21:50:00,Unoccupied,Zone 3,26.1417499875
2015-10-08 22:00:00,Unoccupied,Zone 3,26.1399999166
2015-10-08 22:10:00,Unoccupied,Zone 3,26.1840002062
2015-10-08 22:20:00,Unoccupied,Zone 3,26.1747639507
2015-10-08 22:30:00,Unoccupied,Zone 3,25.9427778264
2015-10-08 22:40:00,Unoccupied,Zone 3,25.2602501188
2015-10-08 22:50:00,Unoccupied,Zone 3,24.8276389375
2015-10-08 23:00:00,Unoccupied,Zone 3,24.5085001187
2015-10-09 00:00:00,Unoccupied,Zone 3,24.284375175
2015-10-09 00:10:00,Unoccupied,Zone 3,24.2739999375
2015-10-09 00:20:00,Unoccupied,Zone 3,24.4802776459
2015-10-09 00:30:00,Unoccupied,Zone 3,24.4913751125
2015-10-09 00:40:00,Unoccupied,Zone 3,24.4434722223
2015-10-09 00:50:00,Unoccupied,Zone 3,24.6086248562
2015-10-09 01:00:00,Unoccupied,Zone 3,24.7062498125
2015-10-09 01:10:00,Unoccupied,Zone 3,24.7180552986
2015-10-09 01:20:00,Unoccupied,Zone 3,24.6688747437
2015-10-09 01:30:00,Unoccupied,Zone 3,24.7189997188
2015-10-09 01:40:00,Unoccupied,Zone 3,24.6722218681
2015-10-09 01:50:00,Unoccupied,Zone 3,24.784000025
2015-10-09 02:00:00,Unoccupied,Zone 3,24.9516666528
2015-10-09 02:10:00,Unoccupied,Zone 3,25.0045000313
2015-10-09 02:20:00,Unoccupied,Zone 3,25.0858337222
2015-10-09 02:30:00,Unoccupied,Zone 3,24.9543750563
2015-10-09 02:40:00,Unoccupied,Zone 3,24.9888750938
2015-10-09 02:50:00,Unoccupied,Zone 3,24.9437502569
2015-10-09 03:00:00,Unoccupied,Zone 3,24.8769446111
2015-10-09 03:10:00,Unoccupied,Zone 3,24.8228751187
2015-10-09 03:20:00,Unoccupied,Zone 3,24.7358749563
2015-10-09 03:30:00,Unoccupied,Zone 3,24.7425000417
2015-10-09 03:40:00,Unoccupied,Zone 3,24.6647499625
2015-10-09 03:50:00,Unoccupied,Zone 3,24.6330555694
2015-10-09 04:00:00,Unoccupied,Zone 3,24.5213750313
2015-10-09 04:10:00,Unoccupied,Zone 3,24.5168056458
2015-10-09 04:20:00,Unoccupied,Zone 3,24.5050000625
2015-10-09 04:30:00,Unoccupied,Zone 3,24.5434583896
2015-10-09 04:40:00,Unoccupied,Zone 3,24.5929581903
2015-10-09 04:50:00,Unoccupied,Zone 3,24.60987505
2015-10-09 05:00:00,Unoccupied,Zone 3,24.6365277708
2015-10-09 05:10:00,Unoccupied,Zone 3,24.5807500938
2015-10-09 05:20:00,Unoccupied,Zone 3,24.4968055
2015-10-09 05:30:00,Unoccupied,Zone 3,24.4016250125
2015-10-09 05:40:00,Unoccupied,Zone 3,24.3790001563
2015-10-09 05:50:00,Unoccupied,Zone 3,24.2798611875
2015-10-09 06:00:00,Unoccupied,Zone 3,24.4016667431
2015-10-09 21:00:00,Unoccupied,Zone 3,26.3951252812
2015-10-09 21:10:00,Unoccupied,Zone 3,26.3701251
2015-10-09 21:20:00,Unoccupied,Zone 3,26.3779169861
2015-10-09 21:30:00,Unoccupied,Zone 3,26.3758334445
2015-10-09 21:40:00,Unoccupied,Zone 3,26.3903754438
2015-10-09 21:50:00,Unoccupied,Zone 3,26.3372500625
2015-10-09 22:00:00,Unoccupied,Zone 3,26.3629167986
2015-10-09 22:10:00,Unoccupied,Zone 3,26.4020004937
2015-10-09 22:20:00,Unoccupied,Zone 3,26.4241530528
2015-10-09 22:30:00,Unoccupied,Zone 3,26.4187365785
2015-10-09 22:40:00,Unoccupied,Zone 3,26.4154171181
