Location,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num1,Num2,Num3,Num4,Num5,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-29 16:55:00+08:00,58.0,60.0,59.0,62.0,62.0,56.0,59.0,59.3333333333,56.0,61.0,60.0,54.0,55.0,55.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.3333333333,57.6666666667,58.0,56.0,61.0,61.0,63.3333333333,59.0,59.0,56.3333333333,60.0,63.0,62.0,61.0,62.6666666667,62.0
2016-12-29 17:00:00+08:00,58.0,60.0,59.0,62.0,62.0,56.0,59.5,59.0,58.0,61.0,60.0,54.0,56.0,56.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.5,58.0,58.0,56.0,61.0,61.0,63.0,59.5,59.0,56.0,60.0,64.0,62.0,61.0,63.0,61.5
2016-12-29 17:05:00+08:00,58.0,60.0,59.0,62.0,62.0,56.0,60.0,59.0,58.6666666667,61.0,60.0,54.3333333333,56.0,56.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.3333333333,58.0,58.0,56.0,61.0,61.0,63.0,59.3333333333,59.3333333333,56.0,61.0,63.3333333333,62.0,61.0,63.0,62.0
2016-12-29 17:10:00+08:00,58.5,60.0,59.0,62.0,62.0,56.0,59.5,59.0,59.0,61.0,60.0,55.0,56.0,56.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.5,58.0,58.0,56.0,61.0,61.0,63.0,59.5,59.5,56.0,60.5,64.5,62.0,61.0,63.0,62.0
2016-12-29 17:15:00+08:00,59.0,60.0,59.3333333333,62.0,62.0,56.0,59.6666666667,59.0,59.0,61.0,60.0,55.0,56.0,56.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.6666666667,58.0,58.0,56.0,61.0,61.0,64.0,60.0,60.0,56.0,61.0,64.6666666667,62.0,61.0,63.0,62.0
2016-12-29 17:20:00+08:00,59.0,60.0,60.0,62.0,62.0,56.0,59.5,59.0,59.0,61.0,60.5,55.0,56.0,56.0,58.0,58.0,58.0,59.0,58.0,58.0,57.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,60.0,58.0,58.0,56.0,61.0,61.0,64.0,60.0,60.0,56.0,61.0,64.0,62.0,61.0,63.0,62.0
2016-12-29 17:25:00+08:00,59.0,60.0,60.0,62.0,62.0,56.0,59.6666666667,59.0,59.0,61.0,61.0,55.0,56.0,56.0,57.6666666667,58.0,58.0,59.0,58.0,58.0,56.6666666667,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,60.0,58.0,58.0,56.0,61.0,61.0,64.0,60.0,60.0,56.0,61.0,65.0,62.0,61.0,63.0,62.0
2016-12-29 17:30:00+08:00,59.0,60.0,60.0,62.0,62.0,56.0,60.0,59.0,59.0,61.0,61.0,55.0,56.0,56.0,57.0,58.0,58.0,59.0,58.5,58.5,56.0,57.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.0,58.0,58.0,56.0,61.0,61.0,64.0,60.0,60.0,56.0,61.0,63.5,62.0,61.0,63.0,62.0
2016-12-29 17:35:00+08:00,59.0,60.0,60.0,62.0,62.0,56.0,59.3333333333,59.0,58.6666666667,61.3333333333,61.0,56.0,56.0,55.0,56.3333333333,58.0,57.0,59.0,59.0,59.0,56.3333333333,56.6666666667,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.6666666667,58.0,58.0,56.0,61.6666666667,61.0,64.0,60.0,60.0,56.0,60.3333333333,64.6666666667,62.0,61.0,63.0,62.0
2016-12-29 17:40:00+08:00,59.0,60.0,60.0,62.0,62.0,56.0,59.0,59.0,58.5,62.0,61.0,59.0,56.0,55.0,56.0,58.0,57.0,59.0,58.0,59.0,56.0,56.0,58.0,57.0,54.0,61.0,57.0,56.0,56.0,59.5,58.0,58.0,56.0,62.0,61.0,64.0,60.0,60.0,56.0,59.0,65.5,62.0,61.0,63.0,62.0
