,Zones,Value,Occupancy Type,Unit
508,Zone 1,62.3333333333,Working Hours,Rel. Humidity [%]
509,Zone 1,62.3333333333,Working Hours,Rel. Humidity [%]
510,Zone 1,62.3333333333,Working Hours,Rel. Humidity [%]
506,Zone 1,62.3333333333,Working Hours,Rel. Humidity [%]
649,Zone 1,56.5,Working Hours,Rel. Humidity [%]
555,Zone 1,61.0,Working Hours,Rel. Humidity [%]
534,Zone 1,61.0,Working Hours,Rel. Humidity [%]
478,Zone 1,54.2222222222,Working Hours,Rel. Humidity [%]
477,Zone 1,54.1666666667,Working Hours,Rel. Humidity [%]
476,Zone 1,54.1111111111,Working Hours,Rel. Humidity [%]
475,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
474,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
473,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
472,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
471,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
470,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
479,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
469,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
467,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
466,Zone 1,54.7777777778,Working Hours,Rel. Humidity [%]
465,Zone 1,55.0,Working Hours,Rel. Humidity [%]
464,Zone 1,55.0,Working Hours,Rel. Humidity [%]
463,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
462,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
436,Zone 1,54.7777777778,Working Hours,Rel. Humidity [%]
435,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
434,Zone 1,54.8888888889,Working Hours,Rel. Humidity [%]
468,Zone 1,54.4444444444,Working Hours,Rel. Humidity [%]
480,Zone 1,54.2222222222,Working Hours,Rel. Humidity [%]
481,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
482,Zone 1,54.3333333333,Working Hours,Rel. Humidity [%]
