,Zones,Value,Occupancy Type,Unit
258,Zone 3,17.9028,Working Hours,Particles [micrograms/m3]
259,Zone 3,18.718372,Working Hours,Particles [micrograms/m3]
260,Zone 3,17.922692,Working Hours,Particles [micrograms/m3]
261,Zone 3,16.729172,Working Hours,Particles [micrograms/m3]
262,Zone 3,17.50496,Working Hours,Particles [micrograms/m3]
263,Zone 3,17.922692,Working Hours,Particles [micrograms/m3]
264,Zone 3,17.345824,Working Hours,Particles [micrograms/m3]
265,Zone 3,18.479668,Working Hours,Particles [micrograms/m3]
266,Zone 3,18.79794,Working Hours,Particles [micrograms/m3]
267,Zone 3,16.589928,Working Hours,Particles [micrograms/m3]
268,Zone 3,17.30604,Working Hours,Particles [micrograms/m3]
269,Zone 3,16.868416,Working Hours,Particles [micrograms/m3]
270,Zone 3,17.564636,Working Hours,Particles [micrograms/m3]
271,Zone 3,16.192088,Working Hours,Particles [micrograms/m3]
272,Zone 3,16.768956,Working Hours,Particles [micrograms/m3]
273,Zone 3,15.81414,Working Hours,Particles [micrograms/m3]
274,Zone 3,16.01306,Working Hours,Particles [micrograms/m3]
275,Zone 3,16.231872,Working Hours,Particles [micrograms/m3]
276,Zone 3,16.649604,Working Hours,Particles [micrograms/m3]
277,Zone 3,15.953384,Working Hours,Particles [micrograms/m3]
278,Zone 3,15.81414,Working Hours,Particles [micrograms/m3]
279,Zone 3,15.11792,Working Hours,Particles [micrograms/m3]
280,Zone 3,15.177596,Working Hours,Particles [micrograms/m3]
281,Zone 3,15.177596,Working Hours,Particles [micrograms/m3]
282,Zone 3,14.52116,Working Hours,Particles [micrograms/m3]
283,Zone 3,14.660404,Working Hours,Particles [micrograms/m3]
284,Zone 3,14.81954,Working Hours,Particles [micrograms/m3]
285,Zone 3,14.81954,Working Hours,Particles [micrograms/m3]
286,Zone 3,15.197488,Working Hours,Particles [micrograms/m3]
287,Zone 3,15.495868,Working Hours,Particles [micrograms/m3]
288,Zone 3,14.22278,Working Hours,Particles [micrograms/m3]
289,Zone 3,14.461484,Working Hours,Particles [micrograms/m3]
290,Zone 3,14.879216,Working Hours,Particles [micrograms/m3]
291,Zone 3,14.72008,Working Hours,Particles [micrograms/m3]
292,Zone 3,14.083536,Working Hours,Particles [micrograms/m3]
293,Zone 3,13.984076,Working Hours,Particles [micrograms/m3]
294,Zone 3,14.242672,Working Hours,Particles [micrograms/m3]
295,Zone 3,13.347532,Working Hours,Particles [micrograms/m3]
296,Zone 3,13.287856,Working Hours,Particles [micrograms/m3]
297,Zone 3,13.566344,Working Hours,Particles [micrograms/m3]
298,Zone 3,13.188396,Working Hours,Particles [micrograms/m3]
299,Zone 3,13.665804,Working Hours,Particles [micrograms/m3]
300,Zone 3,12.611528,Working Hours,Particles [micrograms/m3]
301,Zone 3,13.248072,Working Hours,Particles [micrograms/m3]
302,Zone 3,13.009368,Working Hours,Particles [micrograms/m3]
303,Zone 3,13.287856,Working Hours,Particles [micrograms/m3]
304,Zone 3,12.710988,Working Hours,Particles [micrograms/m3]
305,Zone 3,11.577144,Working Hours,Particles [micrograms/m3]
306,Zone 3,12.671204,Working Hours,Particles [micrograms/m3]
307,Zone 3,13.864724,Working Hours,Particles [micrograms/m3]
308,Zone 3,14.003968,Working Hours,Particles [micrograms/m3]
309,Zone 3,12.949692,Working Hours,Particles [micrograms/m3]
310,Zone 3,11.994876,Working Hours,Particles [micrograms/m3]
311,Zone 3,12.392716,Working Hours,Particles [micrograms/m3]
312,Zone 3,13.367424,Working Hours,Particles [micrograms/m3]
313,Zone 3,12.750772,Working Hours,Particles [micrograms/m3]
314,Zone 3,12.352932,Working Hours,Particles [micrograms/m3]
315,Zone 3,12.372824,Working Hours,Particles [micrograms/m3]
316,Zone 3,12.114228,Working Hours,Particles [micrograms/m3]
317,Zone 3,12.114228,Working Hours,Particles [micrograms/m3]
318,Zone 3,12.253472,Working Hours,Particles [micrograms/m3]
319,Zone 3,12.173904,Working Hours,Particles [micrograms/m3]
320,Zone 3,12.014768,Working Hours,Particles [micrograms/m3]
321,Zone 3,11.418008,Working Hours,Particles [micrograms/m3]
322,Zone 3,11.676604,Working Hours,Particles [micrograms/m3]
323,Zone 3,12.571744,Working Hours,Particles [micrograms/m3]
324,Zone 3,11.895416,Working Hours,Particles [micrograms/m3]
325,Zone 3,11.63682,Working Hours,Particles [micrograms/m3]
326,Zone 3,11.577144,Working Hours,Particles [micrograms/m3]
327,Zone 3,11.378224,Working Hours,Particles [micrograms/m3]
328,Zone 3,11.63682,Working Hours,Particles [micrograms/m3]
329,Zone 3,11.079844,Working Hours,Particles [micrograms/m3]
330,Zone 3,11.616928,Working Hours,Particles [micrograms/m3]
331,Zone 3,12.512068,Working Hours,Particles [micrograms/m3]
332,Zone 3,14.182996,Working Hours,Particles [micrograms/m3]
333,Zone 3,12.173904,Working Hours,Particles [micrograms/m3]
334,Zone 3,11.497576,Working Hours,Particles [micrograms/m3]
335,Zone 3,12.193796,Working Hours,Particles [micrograms/m3]
336,Zone 3,12.273364,Working Hours,Particles [micrograms/m3]
337,Zone 3,13.188396,Working Hours,Particles [micrograms/m3]
338,Zone 3,14.580836,Working Hours,Particles [micrograms/m3]
339,Zone 3,13.466884,Working Hours,Particles [micrograms/m3]
340,Zone 3,12.83034,Working Hours,Particles [micrograms/m3]
341,Zone 3,14.003968,Working Hours,Particles [micrograms/m3]
342,Zone 3,13.108828,Working Hours,Particles [micrograms/m3]
343,Zone 3,15.456084,Working Hours,Particles [micrograms/m3]
344,Zone 3,13.466884,Working Hours,Particles [micrograms/m3]
345,Zone 3,12.770664,Working Hours,Particles [micrograms/m3]
346,Zone 3,13.188396,Working Hours,Particles [micrograms/m3]
347,Zone 3,14.660404,Working Hours,Particles [micrograms/m3]
348,Zone 3,18.738264,Working Hours,Particles [micrograms/m3]
349,Zone 3,14.998568,Working Hours,Particles [micrograms/m3]
350,Zone 3,15.853924,Working Hours,Particles [micrograms/m3]
351,Zone 3,15.774356,Working Hours,Particles [micrograms/m3]
352,Zone 3,16.430792,Working Hours,Particles [micrograms/m3]
353,Zone 3,14.779756,Working Hours,Particles [micrograms/m3]
354,Zone 3,15.356624,Working Hours,Particles [micrograms/m3]
355,Zone 3,15.575436,Working Hours,Particles [micrograms/m3]
356,Zone 3,18.20118,Working Hours,Particles [micrograms/m3]
357,Zone 3,19.812432,Working Hours,Particles [micrograms/m3]
358,Zone 3,16.987768,Working Hours,Particles [micrograms/m3]
359,Zone 3,17.644204,Working Hours,Particles [micrograms/m3]
360,Zone 3,21.125304,Working Hours,Particles [micrograms/m3]
361,Zone 3,19.772648,Working Hours,Particles [micrograms/m3]
362,Zone 3,20.8866,Working Hours,Particles [micrograms/m3]
363,Zone 3,18.360316,Working Hours,Particles [micrograms/m3]
364,Zone 3,18.141504,Working Hours,Particles [micrograms/m3]
365,Zone 3,21.324224,Working Hours,Particles [micrograms/m3]
366,Zone 3,22.438176,Working Hours,Particles [micrograms/m3]
367,Zone 3,22.000552,Working Hours,Particles [micrograms/m3]
368,Zone 3,21.642496,Working Hours,Particles [micrograms/m3]
369,Zone 3,21.741956,Working Hours,Particles [micrograms/m3]
370,Zone 3,23.711264,Working Hours,Particles [micrograms/m3]
371,Zone 3,23.293532,Working Hours,Particles [micrograms/m3]
372,Zone 3,20.8866,Working Hours,Particles [micrograms/m3]
373,Zone 3,21.3839,Working Hours,Particles [micrograms/m3]
374,Zone 3,20.230164,Working Hours,Particles [micrograms/m3]
375,Zone 3,19.79254,Working Hours,Particles [micrograms/m3]
376,Zone 3,20.767248,Working Hours,Particles [micrograms/m3]
377,Zone 3,23.054828,Working Hours,Particles [micrograms/m3]
378,Zone 3,22.199472,Working Hours,Particles [micrograms/m3]
379,Zone 3,23.96986,Working Hours,Particles [micrograms/m3]
380,Zone 3,22.57742,Working Hours,Particles [micrograms/m3]
381,Zone 3,23.015044,Working Hours,Particles [micrograms/m3]
382,Zone 3,25.76014,Working Hours,Particles [micrograms/m3]
383,Zone 3,22.597312,Working Hours,Particles [micrograms/m3]
384,Zone 3,26.25744,Working Hours,Particles [micrograms/m3]
385,Zone 3,24.785432,Working Hours,Particles [micrograms/m3]
386,Zone 3,27.908476,Working Hours,Particles [micrograms/m3]
387,Zone 3,28.684264,Working Hours,Particles [micrograms/m3]
388,Zone 3,28.684264,Working Hours,Particles [micrograms/m3]
389,Zone 3,26.55582,Working Hours,Particles [micrograms/m3]
390,Zone 3,24.924676,Working Hours,Particles [micrograms/m3]
391,Zone 3,24.506944,Working Hours,Particles [micrograms/m3]
392,Zone 3,24.526836,Working Hours,Particles [micrograms/m3]
393,Zone 3,21.48336,Working Hours,Particles [micrograms/m3]
394,Zone 3,22.796232,Working Hours,Particles [micrograms/m3]
395,Zone 3,23.412884,Working Hours,Particles [micrograms/m3]
396,Zone 3,19.056536,Working Hours,Particles [micrograms/m3]
397,Zone 3,19.931784,Working Hours,Particles [micrograms/m3]
398,Zone 3,20.210272,Working Hours,Particles [micrograms/m3]
399,Zone 3,18.419992,Working Hours,Particles [micrograms/m3]
400,Zone 3,20.269948,Working Hours,Particles [micrograms/m3]
401,Zone 3,18.69848,Working Hours,Particles [micrograms/m3]
402,Zone 3,19.116212,Working Hours,Particles [micrograms/m3]
403,Zone 3,18.738264,Working Hours,Particles [micrograms/m3]
404,Zone 3,18.877508,Working Hours,Particles [micrograms/m3]
405,Zone 3,18.141504,Working Hours,Particles [micrograms/m3]
406,Zone 3,18.340424,Working Hours,Particles [micrograms/m3]
407,Zone 3,18.479668,Working Hours,Particles [micrograms/m3]
408,Zone 3,17.843124,Working Hours,Particles [micrograms/m3]
409,Zone 3,17.226472,Working Hours,Particles [micrograms/m3]
410,Zone 3,17.266256,Working Hours,Particles [micrograms/m3]
411,Zone 3,17.246364,Working Hours,Particles [micrograms/m3]
412,Zone 3,17.723772,Working Hours,Particles [micrograms/m3]
413,Zone 3,17.524852,Working Hours,Particles [micrograms/m3]
414,Zone 3,17.564636,Working Hours,Particles [micrograms/m3]
415,Zone 3,16.788848,Working Hours,Particles [micrograms/m3]
416,Zone 3,17.524852,Working Hours,Particles [micrograms/m3]
417,Zone 3,17.067336,Working Hours,Particles [micrograms/m3]
418,Zone 3,17.425392,Working Hours,Particles [micrograms/m3]
419,Zone 3,17.10712,Working Hours,Particles [micrograms/m3]
420,Zone 3,16.9082,Working Hours,Particles [micrograms/m3]
421,Zone 3,17.4055,Working Hours,Particles [micrograms/m3]
422,Zone 3,16.888308,Working Hours,Particles [micrograms/m3]
423,Zone 3,9.011076,Working Hours,Particles [micrograms/m3]
424,Zone 3,8.235288,Working Hours,Particles [micrograms/m3]
425,Zone 3,8.115936,Working Hours,Particles [micrograms/m3]
426,Zone 3,7.777772,Working Hours,Particles [micrograms/m3]
427,Zone 3,8.434208,Working Hours,Particles [micrograms/m3]
428,Zone 3,8.275072,Working Hours,Particles [micrograms/m3]
429,Zone 3,8.15572,Working Hours,Particles [micrograms/m3]
430,Zone 3,8.812156,Working Hours,Particles [micrograms/m3]
431,Zone 3,8.513776,Working Hours,Particles [micrograms/m3]
432,Zone 3,8.772372,Working Hours,Particles [micrograms/m3]
433,Zone 3,8.9514,Working Hours,Particles [micrograms/m3]
434,Zone 3,9.269672,Working Hours,Particles [micrograms/m3]
